id	titlescore	titlestd
1fgcw3	null	null
1rmmi4	null	null
1q5mrj	null	null
yf6d0	null	null
1offjo	null	null
zc7em	null	null
1r7mjn	null	null
1p79z3	null	null
1nccuo	null	null
1bi1vu	null	null
s60gz	null	null
1rgt5g	null	null
1pqgil	null	null
xuw8k	null	null
1iw48a	null	null
1rqb4o	null	null
1a33h0	null	null
1hfshp	null	null
1frlh8	null	null
1phw0o	null	null
1rii0b	null	null
1rkw37	null	null
1r8eeo	null	null
1rl8rs	null	null
y7a2v	null	null
1ibs63	null	null
1cfgnn	null	null
u16us	null	null
1rawej	null	null
1ajp7w	null	null
1denqb	null	null
1gky2f	null	null
1ia5pf	null	null
1qdzwi	null	null
1qf8v8	null	null
1qu3ie	null	null
1inh0z	null	null
1qwnfc	null	null
1rgvl7	null	null
16xrul	null	null
16hv6n	null	null
1r2g2x	null	null
1pberm	null	null
1r7it1	null	null
1r9elk	null	null
1hnicw	null	null
1pvkpy	null	null
12lx26	null	null
1lzc4o	null	null
1jzs1e	null	null
1qylmp	null	null
1q28es	null	null
10dyzq	null	null
wrps6	null	null
1rd47l	null	null
1ofnqv	null	null
1isjx2	null	null
19di2r	null	null
1oqt44	null	null
1rqa1c	null	null
1has0o	null	null
1hec7g	null	null
141kqg	null	null
1glbcg	null	null
1175ep	null	null
1580us	null	null
1ni8l3	null	null
1dxd1l	null	null
1jsb9c	null	null
1rqas9	null	null
1rpzgf	null	null
1rq0qv	null	null
1rpse2	null	null
1ppzws	null	null
12xq79	null	null
1dwua2	null	null
199b6d	null	null
1q9r1o	null	null
1pj0eb	null	null
1rng3m	null	null
1go03c	null	null
1r9u8r	null	null
1r0y38	null	null
1riaft	null	null
1rfgi3	null	null
1gqvg4	null	null
1flnbi	null	null
1ng9i9	null	null
u4ns7	null	null
1h17lm	null	null
17kvco	null	null
1rfilv	null	null
1rf714	null	null
1rcnqr	null	null
1r9w08	null	null
1ro7gk	null	null
14w9zt	null	null
1hwt41	null	null
1rjp0m	null	null
rurzj	null	null
ydim6	null	null
1rnool	null	null
1jk8ur	null	null
1bqhds	null	null
1c9mh4	null	null
1rge6v	null	null
1r814f	null	null
1r8box	null	null
1r87kc	null	null
1r99mh	null	null
1rmyxi	null	null
1rn2u1	null	null
1rat43	null	null
1ei0r2	null	null
1pslvl	null	null
1r9bnu	null	null
ud1qr	null	null
1jw4a1	null	null
1mw2mo	null	null
1rohnh	null	null
189spz	null	null
1r2hqu	null	null
1icwx1	null	null
1pabhw	null	null
1rk00c	null	null
vsqr6	null	null
xspz1	null	null
15sxja	null	null
1ldm54	null	null
1jbyzm	null	null
1g8cpv	null	null
1o5g4m	null	null
13a6b8	null	null
1r2iim	null	null
1608fd	null	null
1o4rn4	null	null
lg6l0	null	null
15h5vz	null	null
1oa8uk	null	null
ywog8	null	null
15uz9a	null	null
10e1xf	null	null
1r95qk	null	null
1rii5c	null	null
1qjgz7	null	null
1ronnw	null	null
1ph03z	null	null
1qgpml	null	null
1qrmcw	null	null
17xmbn	null	null
1qz3ri	null	null
1racwp	null	null
1bz3dr	null	null
v851f	null	null
1knc8v	null	null
1qy2lh	null	null
1qpns8	null	null
1qirr0	null	null
1qtqdm	null	null
1pj7ce	null	null
16pkj2	null	null
xo1b5	null	null
1r2mb8	null	null
1qof27	null	null
11gggf	null	null
1qgq6v	null	null
1q972k	null	null
1ho86o	null	null
1qc15v	null	null
1743xp	null	null
1rhgcl	null	null
1qimib	null	null
xqwyw	null	null
1r9w9r	null	null
1lku3k	null	null
1rpwbu	null	null
1cwdvf	null	null
188vux	null	null
1qklmz	null	null
1qof0q	null	null
1qt843	null	null
16t8wk	null	null
1g6o8g	null	null
1r2xom	null	null
1nrmwd	null	null
1q0asq	null	null
1gwmkz	null	null
1qfjr2	null	null
10k7mu	null	null
1q7m47	null	null
1pse92	null	null
1dm22o	null	null
1rnc3z	null	null
1oo0m2	null	null
1p39zl	null	null
1fn8vs	null	null
1r5z11	null	null
1rnklj	null	null
150tze	null	null
1qs5v1	null	null
1q7oro	null	null
1qsw32	null	null
1oifqi	null	null
16th7q	null	null
1rishr	null	null
1r86pn	null	null
dnlim	null	null
1r2qxp	null	null
1r7rxa	null	null
1rjvoi	null	null
1epiip	null	null
1djsl7	null	null
1rgkz9	null	null
1qlvnk	null	null
1riqcd	null	null
1q36ji	null	null
1rkq2p	null	null
1f76fl	null	null
sy4o3	null	null
1r8y7x	null	null
1rp2qt	null	null
183gn2	null	null
1qefda	null	null
1qc9su	null	null
1qfaw3	null	null
1bw6rn	null	null
18ibpd	null	null
1q9mza	null	null
1jd5dj	null	null
1rahc6	null	null
1rj1qm	null	null
1reano	null	null
yztum	null	null
1ddmjb	null	null
oit28	null	null
1pjc6r	null	null
1rb5j0	null	null
1c36am	null	null
whojo	null	null
1q3a7g	null	null
10reg5	null	null
1i2dz3	null	null
x3ghp	null	null
1ra3ti	null	null
1kj5i7	null	null
10jnxr	null	null
17qufn	null	null
1k66h4	null	null
1rgx63	null	null
1r5aqe	null	null
1pb9or	null	null
1eicau	null	null
1q9scw	null	null
1qmh1s	null	null
1r8r79	null	null
1rfoaa	null	null
1rfzo7	null	null
1rd2fu	null	null
157fh9	null	null
